,Default = Monthly,,DO NOT TOUCH ROW 1-3,,,,,,,,,,,,,,,,,,,,,,Income Analysis,,,,,,,,,,,DSCR Calculations,,,,
Property Location (w/ Link),CoC,CR,DSCR,Property Value / Negotiated Value,Comments,PSF,Percent Down,Money Down,Loan Amount,Loan Length,Rate,Compound Rate Constant,Mortgage Payments,Taxes Monthly,Tax Property Ratio,Insurance,HOA,Recurring Payments,Property Closing Costs (15k high est),Est. Impr. Cost,Total Investment,Annual Misc. Cost,Ownership Cost,Annual Operating Expenses,Bedrooms/Unit,Rent per Bd/Unit (7% CoC),Rent per Bd/Unit (10% CR),Rent per Bd/Unit (1.2 DSCR),Rent per Bd/Unit (12% CR),Realistic Rent Avg Per Bedroom/Unit,Total Realistic Rent,Net Annual Operating Income,Annual Cash Flow,Annual Cash-On-Cash,Cap Rate,NOI 80%,Annual Mortgage Payments,DSCR (80%),Value for DSCR=1.5,Value for DSCR=1.2
79 Throop Ave,0.80%,7.23%,0.82,"$420,000.00",,182.05,20%,"$84,000.00","$336,000.00",30,8%,0.910008110942,"$2,465.45",$308.25,0.88%,,,"$2,773.70","$15,000.00",,"$99,000.00","$4,200.00","$3,123.70","$7,899.00",5,$740.24,$831.65,$827.78,$971.65,$708.74,"$3,543.70","$30,372.95",$787.56,0.80%,7.23%,"$24,298.36","$29,585.39",0.82,"$268,264.20","$314,330.25"
220 Paul Robeson Boulevard,0.54%,7.17%,0.81,"$475,000.00",,293.39,20%,"$95,000.00","$380,000.00",30,8%,0.910008110942,"$2,788.31",$598.25,1.51%,,,"$3,386.56","$15,000.00",,"$110,000.00","$4,750.00","$3,782.39","$11,929.00",6,$737.34,$825.40,$821.75,$957.35,$709.56,"$4,257.39","$34,050.80",$591.13,0.54%,7.17%,"$27,240.64","$33,459.66",0.81,"$301,576.68","$353,220.85"
68 Welton Street,0.55%,7.17%,0.81,"$589,000.00",,,20%,"$117,800.00","$471,200.00",30,8%,0.910008110942,"$3,457.50",$745.75,1.52%,,,"$4,203.25","$15,000.00",,"$132,800.00","$5,890.00","$4,694.08","$14,839.00",3,"$1,822.92","$2,048.31","$2,039.25","$2,375.53","$1,761.03","$5,283.08","$42,218.29",$728.30,0.55%,7.17%,"$33,774.63","$41,489.98",0.81,"$373,926.55","$437,958.19"
104 Howard Street,0.76%,7.21%,0.82,"$899,000.00",,359.60,20%,"$179,800.00","$719,200.00",30,8%,0.910008110942,"$5,277.23",$828.92,1.11%,,,"$6,106.15","$15,000.00",,"$194,800.00","$8,990.00","$6,855.32","$18,937.00",6,"$1,331.94","$1,511.63","$1,504.72","$1,761.35","$1,292.39","$7,754.32","$64,809.64","$1,482.82",0.76%,7.21%,"$51,847.71","$63,326.82",0.82,"$572,981.96","$671,277.45"
11 Cotter Drive,0.60%,7.18%,0.81,"$890,000.00",,301.00,20%,"$178,000.00","$712,000.00",30,8%,0.910008110942,"$5,224.40","$1,072.33",1.45%,,,"$6,296.74","$15,000.00",,"$193,000.00","$8,900.00","$7,038.40","$21,768.00",5,"$1,632.85","$1,846.13","$1,837.93","$2,142.80","$1,585.68","$7,928.40","$63,858.76","$1,165.92",0.60%,7.18%,"$51,087.01","$62,692.85",0.81,"$565,413.27","$662,266.58"
66 Augusta Street,0.29%,7.12%,0.81,"$310,000.00",Potential flipping property,,20%,"$62,000.00","$248,000.00",30,8%,0.910008110942,"$1,819.74",$527.75,2.04%,,,"$2,347.49","$15,000.00",,"$77,000.00","$3,100.00","$2,605.82","$9,433.00",5,$611.00,$673.88,$671.02,$777.22,$583.16,"$2,915.82","$22,057.85",$221.02,0.29%,7.12%,"$17,646.28","$21,836.83",0.81,"$195,818.82","$229,273.52"
73 Remsen Ave,0.56%,7.18%,0.82,"$340,000.00",,304.00,20%,"$68,000.00","$272,000.00",30,8%,0.910008110942,"$1,995.84",$395.42,1.40%,,,"$2,391.26","$15,000.00",,"$83,000.00","$3,400.00","$2,674.59","$8,145.00",2,"$1,579.38","$1,756.04","$1,748.20","$2,039.38","$1,507.29","$3,014.59","$24,412.57",$462.49,0.56%,7.18%,"$19,530.05","$23,950.08",0.82,"$216,104.23","$253,130.29"
58 Saint Nicholas Avenue,-0.67%,6.88%,0.78,"$349,000.00",,73.00,20%,"$69,800.00","$279,200.00",30,8%,0.910008110942,"$2,048.67","$1,275.00",4.38%,,,"$3,323.67","$15,000.00",,"$84,800.00","$3,490.00","$3,614.50","$18,790.00",8,$513.65,$559.27,$557.26,$631.98,$495.44,"$3,963.50","$24,015.84",-$568.20,-0.67%,6.88%,"$19,212.67","$24,584.05",0.78,"$215,497.42","$251,921.77"
115 Remsen Avenue,0.42%,7.14%,0.81,"$549,000.00",,201.00,20%,"$109,800.00","$439,200.00",30,8%,0.910008110942,"$3,222.69",$825.17,1.80%,,,"$4,047.86","$15,000.00",,"$124,800.00","$5,490.00","$4,505.36","$15,392.00",9,$581.48,$650.85,$648.04,$752.52,$561.60,"$5,054.36","$39,195.10",$522.77,0.42%,7.14%,"$31,356.08","$38,672.33",0.81,"$347,585.70","$407,032.12"
124 Dunbar Ave,0.10%,7.07%,0.80,"$390,000.00",,279.00,20%,"$78,000.00","$312,000.00",30,8%,0.910008110942,"$2,289.35",$819.67,2.52%,,,"$3,109.01","$15,000.00",,"$93,000.00","$3,900.00","$3,434.01","$13,736.00",4,$994.13,"$1,098.67","$1,094.17","$1,261.17",$956.00,"$3,824.01","$27,563.33",$91.19,0.10%,7.07%,"$22,050.66","$27,472.15",0.80,"$245,219.03","$287,023.79"
